,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
0,"[('crime', 0.019671287650340156), ('law', 0.011125276497790536), ('case', 0.008481502304114175), ('judge', 0.008235705370756106), ('campaign', 0.008002974888013464)]","[('biden', 0.04623028344185236), ('like', 0.02568467722772089), ('get', 0.014261255321468153), ('he', 0.013375636211138544), ('dont', 0.013073543123679735)]","[('people', 0.02649016289532746), ('conservative', 0.015912697708640997), ('think', 0.012765897881018912), ('like', 0.011146157254790666), ('dont', 0.010369661887991575)]","[('policy', 0.021004260166649087), ('democrat', 0.018127756224535503), ('biden', 0.014096871066884753), ('republican', 0.013250906014691649), ('state', 0.013092549166891617)]","[('biden', 0.03141220129657963), ('president', 0.01646690003499422), ('year', 0.013410197161967239), ('country', 0.010151262671509726), ('office', 0.009727423183944473)]"
1,"[('paxton', 0.01260959066412865), ('crime', 0.010029738792232597), ('would', 0.008738744868516949), ('campaign', 0.008716308944827817), ('political', 0.008609865044142686)]","[('biden', 0.04578950669811116), ('like', 0.021364772985061214), ('would', 0.015726593518670895), ('he', 0.013764011792334331), ('joe', 0.012415853289003624)]","[('people', 0.02240954555908931), ('vote', 0.011676455623337976), ('think', 0.011423655575526522), ('like', 0.00998553620378854), ('one', 0.009422571211881501)]","[('policy', 0.02078158521372715), ('biden', 0.019069372603558236), ('democrat', 0.014464923612394574), ('vote', 0.013074357752117535), ('border', 0.011524041690792084)]","[('biden', 0.027557865651346852), ('president', 0.017154015646325516), ('year', 0.011082327348291773), ('country', 0.01004692914554608), ('would', 0.009328794237341582)]"
2,"[('court', 0.009452281609337941), ('crime', 0.008320806336237366), ('would', 0.008118790313917042), ('political', 0.007444914401012015), ('biden', 0.0072472082762678825)]","[('biden', 0.06714894420300736), ('like', 0.020071765583038362), ('he', 0.01457910781389165), ('debate', 0.012690173855699809), ('would', 0.010731253337255388)]","[('people', 0.018994365082602962), ('biden', 0.01674584474745717), ('vote', 0.013331301772683645), ('think', 0.013012621231918585), ('dont', 0.009984216048002793)]","[('biden', 0.015561559692717958), ('vote', 0.015306987920857173), ('policy', 0.01434889059770424), ('democrat', 0.012108337330013121), ('state', 0.011805021865147066)]","[('biden', 0.040278389021566774), ('president', 0.021947483531806776), ('would', 0.01089329567443124), ('year', 0.010302188767136532), ('office', 0.009403635652429637)]"
3,"[('court', 0.019068435239267413), ('biden', 0.011308927578010377), ('one', 0.008633565092750964), ('case', 0.008625800392789387), ('crime', 0.007607756177712191)]","[('biden', 0.05289021195706188), ('like', 0.024687739124855626), ('debate', 0.012088416638238765), ('he', 0.010790514078355254), ('joe', 0.010597645579065283)]","[('people', 0.019813143907792777), ('biden', 0.014388129260311376), ('think', 0.013760044477249711), ('vote', 0.011332144349019812), ('dont', 0.009560052308508257)]","[('vote', 0.02216999260928304), ('election', 0.01565005474872425), ('state', 0.014990029188185565), ('biden', 0.012007106932490087), ('policy', 0.011424345582239138)]","[('president', 0.030333904100485035), ('biden', 0.028799565893382176), ('official', 0.020264868285050894), ('act', 0.01963916318516438), ('would', 0.014012168307850922)]"
4,"[('biden', 0.010965245650875852), ('one', 0.010237239738386713), ('court', 0.00848131527291721), ('would', 0.0069915828803124155), ('think', 0.006976726266226952)]","[('biden', 0.046856546196622814), ('like', 0.02159125091941556), ('debate', 0.01186343017440053), ('joe', 0.009647615099979872), ('would', 0.00958730194966955)]","[('think', 0.014456593131760358), ('harris', 0.014212682944066128), ('people', 0.013660045300493152), ('biden', 0.011159447366551794), ('dont', 0.010374939441648651)]","[('vote', 0.030130539923275742), ('state', 0.016118995886921682), ('voter', 0.014937916379781282), ('election', 0.013308265058041379), ('biden', 0.011550822194337774)]","[('biden', 0.030431024047617303), ('president', 0.02401742327010725), ('would', 0.014828233191029418), ('joe', 0.00829780537172741), ('year', 0.008271995879859427)]"
5,"[('one', 0.013378112757075601), ('biden', 0.009227706497274193), ('people', 0.008965994570576454), ('think', 0.008015001259929622), ('news', 0.007745799472346933)]","[('biden', 0.025870686543967545), ('like', 0.021956389527639376), ('kamala', 0.013947277950037818), ('he', 0.010424751769769657), ('cant', 0.010199835597632259)]","[('harris', 0.020954102515100624), ('people', 0.016617128774495313), ('walz', 0.01380304456524333), ('think', 0.01133716297399419), ('dont', 0.010516670475785595)]","[('vote', 0.02419592005576829), ('state', 0.020630187177793156), ('voter', 0.013140133692359852), ('poll', 0.012200814663918383), ('election', 0.010207957287567545)]","[('biden', 0.020643764696852963), ('president', 0.01838746638991047), ('would', 0.013018478398093702), ('joe', 0.011415142010813546), ('year', 0.009010161039045124)]"
6,"[('one', 0.013762912216122185), ('people', 0.011859934072264757), ('think', 0.009252463797086765), ('news', 0.008756319835666306), ('see', 0.008313276586617145)]","[('kamala', 0.026014827751745944), ('biden', 0.024743065805592317), ('like', 0.01815235334291626), ('debate', 0.01012306449093615), ('he', 0.00867269116721189)]","[('people', 0.022193469488548223), ('harris', 0.018005726451882142), ('think', 0.012682994753193896), ('kamala', 0.012064319830333296), ('dont', 0.011990816711070983)]","[('state', 0.020264258877332745), ('vote', 0.01843947546083952), ('poll', 0.013530715332399263), ('harris', 0.013346443333854797), ('voter', 0.013125801175514493)]","[('biden', 0.02407648348194173), ('joe', 0.020620213884829073), ('president', 0.01809524555938588), ('would', 0.013356246292759987), ('kamala', 0.012377777180029092)]"
7,"[('people', 0.012795435152445949), ('one', 0.012513603596329838), ('see', 0.011663539469066305), ('think', 0.011549934317707337), ('getting', 0.00921121932958799)]","[('kamala', 0.032197828016080704), ('biden', 0.01988203210345034), ('like', 0.019159528220014654), ('debate', 0.01766109978343976), ('question', 0.012899869888696774)]","[('people', 0.0165376840987052), ('harris', 0.016443192518838076), ('think', 0.014269048819049652), ('like', 0.011932535595988796), ('kamala', 0.010660839285634176)]","[('poll', 0.028703658726528945), ('state', 0.01816443487883593), ('vote', 0.01772260509724458), ('harris', 0.016461756557429687), ('voter', 0.011578918320547915)]","[('president', 0.024508098123937287), ('biden', 0.0162063165304026), ('would', 0.013955274955147591), ('kamala', 0.010769456433394272), ('year', 0.009898438583303608)]"
8,"[('one', 0.01292025332862221), ('got', 0.011477633612424196), ('people', 0.010234711379893662), ('think', 0.010081950285132682), ('see', 0.009936869657554389)]","[('kamala', 0.0395265962391126), ('debate', 0.02174862534628579), ('like', 0.01581016250120982), ('biden', 0.01474386022339264), ('question', 0.013831617217038251)]","[('think', 0.01769250575304063), ('harris', 0.01595847216821133), ('people', 0.014756095844677705), ('like', 0.012595485086690759), ('know', 0.012246827758017003)]","[('poll', 0.02012808163140785), ('harris', 0.020016795428275745), ('vote', 0.01557181155384622), ('state', 0.015488654900600739), ('election', 0.013873146691697718)]","[('president', 0.0279138512624119), ('biden', 0.015930860086566103), ('kamala', 0.01283444911030004), ('would', 0.012127211717277011), ('donald', 0.012014778959931992)]"
9,"[('one', 0.015360770811964106), ('got', 0.010088395404941922), ('think', 0.009548093454854753), ('even', 0.009533449452602117), ('campaign', 0.009452830600033279)]","[('debate', 0.024010105400373242), ('kamala', 0.02347754556195892), ('like', 0.01665074818123712), ('harris', 0.01241645289194918), ('biden', 0.011167618785199514)]","[('vance', 0.05308348066285701), ('walz', 0.019638093453982867), ('think', 0.014547574233859138), ('harris', 0.013689273349334941), ('people', 0.013676393448556071)]","[('poll', 0.021782303379996034), ('vote', 0.019750462521215102), ('election', 0.019607716767375678), ('harris', 0.016725873955713164), ('state', 0.016577217839591683)]","[('president', 0.02935847197714348), ('biden', 0.017582860582220663), ('kamala', 0.016063208258042062), ('donald', 0.013924679032873626), ('harris', 0.012512020828364483)]"
