,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
0,"[('crime', 0.16071676434064322), ('record', 0.06130575110747606), ('intent', 0.046221464044701836), ('jury', 0.03704612168174255), ('business', 0.03648029292808568)]","[('money', 0.050131958357023866), ('another', 0.039593111496931316), ('pay', 0.03362846295818775), ('biden', 0.03021604852607689), ('would', 0.030135399186759948)]","[('people', 0.014529724667541278), ('dont', 0.012853401764032662), ('like', 0.012335373697024957), ('he', 0.010885692959889353), ('think', 0.0102830386204295)]","[('biden', 0.10026654635648133), ('win', 0.06235643159421473), ('sure', 0.04795567128634612), ('get', 0.04785460478160524), ('vote', 0.046620735327302064)]","[('biden', 0.030603276530129793), ('campaign', 0.015526654552825446), ('joe', 0.011043455562409054), ('charged', 0.01063828872164239), ('county', 0.010410847098380624)]"
1,"[('crime', 0.09135157852520914), ('record', 0.058114730819590864), ('saying', 0.036221806286346914), ('jury', 0.0339035617263448), ('intent', 0.03279445243836723)]","[('money', 0.0397864172014175), ('another', 0.0358929682948182), ('would', 0.03293230832018641), ('biden', 0.02913529289299065), ('year', 0.024022097163797943)]","[('people', 0.01177659812286897), ('biden', 0.011044035926860062), ('like', 0.01086968819435433), ('policy', 0.010144892927847026), ('think', 0.009272236602464255)]","[('biden', 0.09974495659811018), ('win', 0.07361374133326898), ('election', 0.04690431567051788), ('vote', 0.045231943441758106), ('get', 0.04361056413795043)]","[('biden', 0.04761555097672551), ('reporting', 0.01594503857573828), ('county', 0.015806978064653462), ('joe', 0.01413818880403534), ('campaign', 0.013146210748025688)]"
2,"[('crime', 0.06272037743297584), ('record', 0.052359222178432904), ('saying', 0.04920013525060502), ('like', 0.03875747097074094), ('president', 0.0375230445545016)]","[('would', 0.035440654617766174), ('biden', 0.029822106665979488), ('year', 0.0293871691563772), ('another', 0.028930362373701512), ('love', 0.026084442239628823)]","[('biden', 0.012950359379785023), ('would', 0.010375175548932998), ('like', 0.010124017749612755), ('people', 0.009152151864925474), ('think', 0.009146960977127971)]","[('win', 0.08589554159121923), ('biden', 0.07051642533328673), ('like', 0.05192999433775336), ('vote', 0.0443557806779903), ('going', 0.03866051489406061)]","[('biden', 0.05682360079117571), ('joe', 0.012579970273595338), ('would', 0.012116971748738263), ('county', 0.009797057828517941), ('need', 0.009652736375744599)]"
3,"[('saying', 0.0677937025779734), ('president', 0.057117957048431964), ('record', 0.04493847876139066), ('crime', 0.041274185089519154), ('like', 0.038849306056041685)]","[('biden', 0.035992410386832076), ('year', 0.03317108058333821), ('would', 0.03127119513663754), ('price', 0.027017655492149323), ('another', 0.021983358189522614)]","[('people', 0.011167093651927704), ('like', 0.009909781403815954), ('biden', 0.0097520151777344), ('policy', 0.008426571070259637), ('would', 0.00832098253724027)]","[('win', 0.07529838999070033), ('like', 0.06055360037641443), ('biden', 0.05507709576247676), ('going', 0.04572365748123509), ('vote', 0.042711954361817045)]","[('biden', 0.05331041011263183), ('need', 0.010822027739863124), ('joe', 0.010731124214328792), ('party', 0.010705906992481739), ('would', 0.010380749236152823)]"
4,"[('president', 0.08310194770881753), ('saying', 0.08014561275835626), ('like', 0.03508217049851564), ('harris', 0.03283170529719393), ('record', 0.03118648966656885)]","[('biden', 0.03814180797599662), ('would', 0.032882234022226675), ('he', 0.030479843602738803), ('year', 0.02532982621798446), ('another', 0.020298494820149362)]","[('biden', 0.016797991054858265), ('people', 0.011013990475008695), ('would', 0.010774175390766715), ('like', 0.00918552844595117), ('thing', 0.008049781103175911)]","[('win', 0.06717259936299635), ('like', 0.05855704529086948), ('biden', 0.0580667779106935), ('vote', 0.04904907579607233), ('going', 0.04538798162888643)]","[('biden', 0.0741044875180318), ('debate', 0.014129563324626022), ('president', 0.01178228265594636), ('need', 0.0114987155321883), ('election', 0.011496132647124844)]"
5,"[('president', 0.12885285024470933), ('saying', 0.061162468199208564), ('harris', 0.04765283681684916), ('cant', 0.03210823598841127), ('like', 0.02991825343508639)]","[('would', 0.034548377774497416), ('he', 0.03451319173216454), ('biden', 0.02963273017494912), ('people', 0.02429509326735178), ('year', 0.021035350179007553)]","[('people', 0.014491925213897501), ('biden', 0.01300874898124668), ('would', 0.012237092393272107), ('thing', 0.008945579227601494), ('one', 0.008387536519888524)]","[('win', 0.07698694096951708), ('vote', 0.060963505414908865), ('going', 0.04678867108938202), ('biden', 0.044781284513727995), ('like', 0.039233677326731324)]","[('biden', 0.056724871436423734), ('court', 0.013911169138733484), ('president', 0.013176309960455327), ('election', 0.011144778449982304), ('debate', 0.010918768358350093)]"
6,"[('president', 0.1557829646348496), ('harris', 0.06490530684398456), ('saying', 0.04920210977554907), ('cant', 0.031978888841611694), ('like', 0.025110270960403833)]","[('would', 0.03819537832390001), ('he', 0.03456827737814541), ('people', 0.02723875859522655), ('biden', 0.026395622079972633), ('good', 0.019333342886760266)]","[('biden', 0.012663661920725773), ('would', 0.012340574155857185), ('people', 0.011680996369066356), ('thing', 0.00859135491315603), ('one', 0.00822771672453157)]","[('win', 0.07051770599570924), ('vote', 0.06462544937038252), ('election', 0.045270709255008444), ('going', 0.04503088621184674), ('biden', 0.040110386537360494)]","[('biden', 0.058107163198890456), ('debate', 0.01042284152863628), ('party', 0.00951337438112886), ('joe', 0.009327189336218306), ('need', 0.00896879226988673)]"
7,"[('harris', 0.15103399035685172), ('president', 0.09707719252740563), ('saying', 0.04063007045578041), ('cant', 0.03508763105896017), ('like', 0.02459639919269508)]","[('would', 0.03958176788024076), ('he', 0.030667817016924316), ('people', 0.03051463293877346), ('biden', 0.022814084458556417), ('kamala', 0.021279286875015378)]","[('would', 0.012530414479255923), ('biden', 0.010453456540296092), ('one', 0.0096464342718756), ('people', 0.009501464646126102), ('want', 0.008739072435272532)]","[('vote', 0.05976253218767695), ('win', 0.05364220781213245), ('election', 0.04796599797777671), ('going', 0.04212033676292534), ('think', 0.035813009453799)]","[('biden', 0.053941774238259216), ('party', 0.010948072766927603), ('vote', 0.010281420702744409), ('think', 0.009848606071404796), ('joe', 0.009484458146361716)]"
8,"[('harris', 0.2532136123539646), ('president', 0.06070673641032656), ('saying', 0.03606543590457024), ('cant', 0.03180728754779494), ('like', 0.02402490713949741)]","[('would', 0.044184269909582026), ('he', 0.032145539403826535), ('people', 0.02957969581927421), ('country', 0.025227659722260348), ('think', 0.02473574099590162)]","[('like', 0.012667770894992159), ('want', 0.01017193219908805), ('would', 0.009157009023210518), ('people', 0.009074942681877361), ('biden', 0.008930204919466127)]","[('vote', 0.06894801426725146), ('win', 0.05993009089700862), ('going', 0.0474487038624819), ('harris', 0.03793553228638522), ('election', 0.03635393360315563)]","[('biden', 0.04998501402600606), ('party', 0.012591690108306311), ('kamala', 0.01152770559229801), ('think', 0.00962881259578903), ('vote', 0.009587684311414667)]"
9,"[('harris', 0.29245835966557543), ('president', 0.0435714194279979), ('saying', 0.03098292114559163), ('cant', 0.029345268286139144), ('like', 0.024240936782927235)]","[('would', 0.0476085533651903), ('think', 0.034338569147252355), ('people', 0.02891640692984683), ('country', 0.027857408801420427), ('president', 0.026092279753551127)]","[('like', 0.011709652577472461), ('want', 0.007920279841364038), ('people', 0.0077994747450942465), ('would', 0.007374414659018504), ('biden', 0.007210198578661427)]","[('win', 0.05322054598727784), ('vote', 0.05141862819420955), ('harris', 0.048349410364309967), ('going', 0.047820263172169905), ('election', 0.03712099918689356)]","[('biden', 0.03565274055280978), ('kamala', 0.0163300122388376), ('debate', 0.01405077961486317), ('think', 0.0101255736789858), ('party', 0.009879261538399312)]"
