Categoría: Todas las categorías

Día,Harris: (Estados Unidos),Biden: (Estados Unidos),Trump: (Estados Unidos)
2024-06-27,1,3,4
2024-06-28,1,19,15
2024-06-29,1,6,5
2024-06-30,1,5,3
2024-07-01,1,5,4
2024-07-02,1,4,4
2024-07-03,1,5,3
2024-07-04,2,4,4
2024-07-05,1,6,3
2024-07-06,1,7,3
2024-07-07,1,3,3
2024-07-08,1,3,2
2024-07-09,1,3,3
2024-07-10,1,3,3
2024-07-11,2,7,3
2024-07-12,2,8,4
2024-07-13,1,4,69
2024-07-14,1,6,100
2024-07-15,1,4,32
2024-07-16,1,3,20
2024-07-17,1,4,14
2024-07-18,2,9,17
2024-07-19,2,12,22
2024-07-20,1,6,10
2024-07-21,12,42,11
2024-07-22,17,12,9
2024-07-23,14,10,9
2024-07-24,11,5,8
2024-07-25,11,5,7
2024-07-26,9,2,7
2024-07-27,6,2,7
2024-07-28,5,1,7
2024-07-29,5,1,10
2024-07-30,5,1,7
2024-07-31,7,1,8
2024-08-01,7,1,7
2024-08-02,5,1,5
2024-08-03,5,1,5
2024-08-04,5,1,5
2024-08-05,4,1,4
2024-08-06,9,1,4
2024-08-07,6,1,5
2024-08-08,5,1,5
2024-08-09,4,1,5
2024-08-10,4,1,5
2024-08-11,4,1,5
2024-08-12,4,1,5
2024-08-13,3,1,7
2024-08-14,3,1,5
2024-08-15,3,1,4
2024-08-16,3,1,4
2024-08-17,3,1,4
2024-08-18,3,<1,4
2024-08-19,3,1,4
2024-08-20,4,4,5
2024-08-21,5,1,6
2024-08-22,5,1,6
2024-08-23,10,1,7
2024-08-24,4,1,6
2024-08-25,4,<1,5
2024-08-26,3,1,4
2024-08-27,3,1,4
2024-08-28,3,1,4
2024-08-29,4,1,5
2024-08-30,5,1,5
2024-08-31,3,<1,4
2024-09-01,3,<1,4
2024-09-02,3,1,4
2024-09-03,3,<1,3
2024-09-04,3,<1,4
2024-09-05,3,1,4
2024-09-06,3,1,4
2024-09-07,2,<1,4
2024-09-08,3,<1,3
2024-09-09,3,<1,4
2024-09-10,4,1,6
2024-09-11,14,2,19
2024-09-12,5,1,8
2024-09-13,4,1,7
2024-09-14,4,1,6
2024-09-15,3,1,18
2024-09-16,3,1,14
2024-09-17,3,1,7
2024-09-18,3,1,6
2024-09-19,3,<1,5
2024-09-20,3,<1,5
2024-09-21,3,<1,4
2024-09-22,3,<1,4
2024-09-23,3,1,4
2024-09-24,3,1,4
2024-09-25,3,1,4
2024-09-26,3,1,4
2024-09-27,3,1,4
